"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","TastingDate","Defective","Rating","TastingNotes","fLikeIt","CScore"
"12516765","2808060","Red","2015","Marchesi Mazzei Castello di Fonterutoli Concerto Toscana IGT","Italy, Tuscany, Toscana IGT","Marchesi Mazzei","SuperTuscan Blend","4/29/2026","False","94","","","91.8684210526316"
"12505129","3532358","Red","2018","M. Chapoutier Hermitage La Sizeranne","France, Rhône, Northern Rhône, Hermitage","M. Chapoutier","Syrah","4/23/2026","False","92","","","90.8181818181818"
"12469377","3357084","Red","1994","Caves São João Cabernet Sauvignon Quinta do Poço do Lobo","Portugal, Beiras, Vinho Regional Beiras","Caves São João","Cabernet Sauvignon","4/4/2026","False","95","","","91.1632653061225"
"12469373","2039323","Red","2011","Barone Ricasoli Chianti Classico Gran Selezione Castello di Brolio","Italy, Tuscany, Chianti, Chianti Classico DOCG","Barone Ricasoli","Sangiovese Blend","4/4/2026","False","95","","","92.4838709677419"
"12469005","3226473","Red","2017","Aubert Pinot Noir CIX Estate Vineyard","USA, California, Sonoma County, Sonoma Coast","Aubert","Pinot Noir","4/4/2026","False","93","","","94.1025641025641"
"12464626","5264221","Rosé","2023","Troon Vineyard Vermentino Ascendent Amber","USA, Oregon, Southern Oregon, Applegate Valley","Troon Vineyard","Vermentino","4/2/2026","False","87","","","88.5"
"12456802","3874690","Red","2018","Terroir Al Limit Soc. Lda. Priorat Terra de Cuques Negre","Spain, Catalunya, Priorat","Terroir Al Limit Soc. Lda.","Grenache Blend","3/29/2026","False","91","","","90.3793103448276"
"12433575","5322351","Red","2021","Robert Foley Charbono","USA, California, Napa Valley","Robert Foley","Charbono","3/17/2026","False","92","Rustic and meaty. Like Syrah but lighter.","","91.25"
"12409863","4731092","Red","2018","World's End Cabernet Sauvignon CrossFire Beckstoffer Missouri Hopper Vineyard","USA, California, Napa Valley, Oakville","World's End","Cabernet Sauvignon","3/6/2026","False","91","","","91.4285714285714"
"12402000","3989340","White","2020","Château Haut-Brion La Clarté de Haut-Brion Blanc","France, Bordeaux, Graves, Pessac-Léognan","Château Haut-Brion","Sémillon-Sauvignon Blanc Blend","3/1/2026","False","91","","","91.8"
"12383162","2103406","White","2014","Domaine Huet Vouvray Sec Clos du Bourg","France, Loire Valley, Touraine, Vouvray","Domaine Huet","Chenin Blanc","2/19/2026","False","92","","","92.2307692307692"
"12372771","4225775","White","2020","Domaine du Château de Meursault Meursault 1er Cru Les Charmes-Dessus","France, Burgundy, Côte de Beaune, Meursault 1er Cru","Domaine du Château de Meursault","Chardonnay","2/14/2026","False","95","","","93.375"
"12370862","3296253","Red","2013","Tenuta di Arceno Valadorna di Arcanum Toscana IGT","Italy, Tuscany, Toscana IGT","Tenuta di Arceno","SuperTuscan Blend","2/13/2026","False","92","","","92.4725274725275"
