"iWine","Type","Color","Category","Size","Quantity","Vintage","Wine","Locale","Producer","Varietal","BeginConsume","EndConsume","CScore"
"4525734","White","White","Dry","750ml","1","2017","R. López de Heredia Rioja Blanco Viña Gravonia","Spain, La Rioja, La Rioja Alta, Rioja","R. López de Heredia","Viura","2031","2075","91.6896551724138"
"3512948","Rosé","Rosé","Dry","750ml","1","2010","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","R. López de Heredia","Grenache Blend","2021","2034","92.7981651376147"
"5352863","White","White","Dry","750ml","1","2024","Château Lynch-Bages Blanc de Lynch-Bages","France, Bordeaux","Château Lynch-Bages","Sémillon-Sauvignon Blanc Blend","2028","2034","92.75"
"5277292","Red","Red","Dry","750ml","1","2021","M. Marengo Barolo Brunate","Italy, Piedmont, Langhe, Barolo","M. Marengo","Nebbiolo","2030","2042",""
"3533373","Red","Red","Dry","750ml","1","2011","Marqués de Murrieta Rioja Castillo Ygay Gran Reserva Especial","Spain, La Rioja, La Rioja Alta, Rioja","Marqués de Murrieta","Tempranillo Blend","2024","2040","94.4576271186441"
"4967336","Red","Red","Dry","750ml","2","2020","Château Martet Merlot Réserve de la Famille","France, Bordeaux","Château Martet","Merlot","2027","2036","93"
"323024","Red - Fortified","Red","Fortified","750ml","1","1985","Mas Amiel Maury Vintage","France, Languedoc Roussillon, Roussillon, Maury","Mas Amiel","Grenache","2005","2025","88.7777777777778"
"2582356","Red","Red","Dry","750ml","2","2014","Mas Martinet Priorat Clos Martinet","Spain, Catalunya, Priorat","Mas Martinet","Grenache Blend","2021","2029","93.6363636363636"
"5535977","Red","Red","Dry","750ml","1","2022","Bartolo Mascarello Barolo","Italy, Piedmont, Langhe, Barolo","Bartolo Mascarello","Nebbiolo","2035","2052","91"
"4701265","Red","Red","Dry","750ml","1","2020","Bartolo Mascarello Barolo","Italy, Piedmont, Langhe, Barolo","Bartolo Mascarello","Nebbiolo","2045","2090","93.6190476190476"
"1704224","Rosé - Sparkling","Rosé","Sparkling","750ml","1","1001","Maysara Winery Pinot Noir Sparkling Rosé Momtazi Vineyard","USA, Oregon, Willamette Valley","Maysara Winery","Pinot Noir","2017","2019","89.4444444444444"
"4104918","Red","Red","Dry","750ml","2","2019","Marchesi Mazzei Castello di Fonterutoli Concerto Toscana IGT","Italy, Tuscany, Toscana IGT","Marchesi Mazzei","SuperTuscan Blend","2024","2036","92.4137931034483"
"4420451","White - Off-dry","White","Dry","750ml","1","2020","Markus Molitor Wehlener Klosterberg Riesling Spätlese (Green Capsule)","Germany, Mosel Saar Ruwer","Markus Molitor","Riesling","2025","2037","90.2"
"3836447","White - Sweet/Dessert","White","Sweet/Dessert","750ml","1","2019","Markus Molitor Zeltinger Sonnenuhr Riesling Auslese *** (Golden Capsule)","Germany, Mosel Saar Ruwer","Markus Molitor","Riesling","2026","2074","95.25"
"3556198","Red","Red","Dry","750ml","1","2017","Robert Mondavi Winery Cabernet Sauvignon The Reserve To-Kalon Vineyard","USA, California, Napa Valley, Oakville","Robert Mondavi Winery","Cabernet Sauvignon","2023","2035","93.12"
"4301048","White","White","Dry","750ml","1","2021","Château Mouton Rothschild Aile D'Argent Blanc","France, Bordeaux","Château Mouton Rothschild","Sémillon-Sauvignon Blanc Blend","2025","2034","92"
"4525626","Red","Red","Dry","750ml","1","2018","Chateau Musar","Lebanon, Bekaa Valley","Chateau Musar","Red Blend","2026","2038","91.2898550724638"
"4025232","Red","Red","Dry","750ml","1","2015","Chateau Musar","Lebanon, Bekaa Valley","Chateau Musar","Red Blend","2024","2037","91.5769230769231"
"3874498","Red","Red","Dry","750ml","1","2019","Domaine Michel Niellon Chassagne-Montrachet Rouge","France, Burgundy, Côte de Beaune, Chassagne-Montrachet","Domaine Michel Niellon","Pinot Noir","2023","2032","90"
"3486213","Red","Red","Dry","750ml","1","2019","Château Palmer Alter Ego","France, Bordeaux, Médoc, Margaux","Château Palmer","Red Bordeaux Blend","2025","2039","92.3802816901408"
"5047570","White","White","Dry","750ml","1","2022","Pascal Clément Pernand-Vergelesses Les Belles Filles","France, Burgundy, Côte de Beaune, Pernand-Vergelesses","Pascal Clément","Chardonnay","9999","9999",""
"4365135","Red","Red","Dry","750ml","1","2017","Pecci Celestino Brunello di Montalcino Poggio al Carro","Italy, Tuscany, Montalcino, Brunello di Montalcino","Pecci Celestino","Sangiovese","2026","2036","94"
"4737264","Red","Red","Dry","750ml","1","2022","Fattoria Petrolo Galatrona","Italy, Tuscany, Val d'Arno di Sopra","Fattoria Petrolo","Merlot","2027","2041","91.9230769230769"
"508970","Red","Red","Dry","750ml","1","2005","Château de Pibarnon Bandol","France, Provence, Bandol","Château de Pibarnon","Mourvèdre Blend","2012","2021","90.2708333333333"
"2117535","Red","Red","Dry","750ml","1","2015","Château Pontet-Canet","France, Bordeaux, Médoc, Pauillac","Château Pontet-Canet","Red Bordeaux Blend","2025","2045","94.2857142857143"
"4284166","Red","Red","Dry","750ml","1","2018","Guido Porro Barolo Gianetto","Italy, Piedmont, Langhe, Barolo","Guido Porro","Nebbiolo","2026","2034","90.6"
"4918924","Red","Red","Dry","750ml","1","2022","Prisoner Wine Company The Prisoner Cabernet Sauvignon","USA, California","Prisoner Wine Company","Cabernet Sauvignon","2026","2031","89.1428571428571"
"4034023","White - Off-dry","White","Dry","750ml","1","2020","Joh. Jos. Prüm Graacher Himmelreich Riesling Spätlese","Germany, Mosel Saar Ruwer","Joh. Jos. Prüm","Riesling","2028","2075","91.4"
"2594463","Red","Red","Dry","750ml","1","2016","Château Rauzan-Ségla","France, Bordeaux, Médoc, Margaux","Château Rauzan-Ségla","Red Bordeaux Blend","2025","2045","93.6039603960396"
"5096099","Red","Red","Dry","750ml","1","2022","Ridge Botticelli Vineyard Rockpile","USA, California, Sonoma County, Rockpile","Ridge","Zinfandel Blend","2025","2031","90.2941176470588"
"4531364","Red","Red","Dry","750ml","1","2021","Ridge Botticelli Vineyard Rockpile","USA, California, Sonoma County, Rockpile","Ridge","Zinfandel Blend","2023","2029","90.5769230769231"
"4913020","Red","Red","Dry","750ml","1","2021","Ridge Cabernet Sauvignon Estate","USA, California, Santa Cruz Mountains","Ridge","Cabernet Sauvignon","2027","2038","91.4473684210526"
"4839368","Red","Red","Dry","750ml","1","1001","Ridge Carignane Buchignani Ranch","USA, California, Sonoma County","Ridge","Carignane","9999","9999",""
"4839369","Red","Red","Dry","750ml","1","1001","Ridge Carignane Gonsalves","USA, California, San Francisco Bay, Contra Costa County","Ridge","Carignane","9999","9999",""
"4839370","Red","Red","Dry","750ml","2","1001","Ridge Carignane Sandy Lane Vineyard","USA, California, San Francisco Bay, Contra Costa County","Ridge","Carignane","9999","9999",""
"3890953","Red","Red","Dry","750ml","1","2019","Ridge Geyserville","USA, California, Sonoma County, Alexander Valley","Ridge","Zinfandel Blend","2023","2033","91.395"
"3543985","Red","Red","Dry","750ml","1","2019","Ridge Monte Bello","USA, California, Santa Cruz Mountains","Ridge","Red Bordeaux Blend","2028","2047","95"
"5124296","Red","Red","Dry","750ml","1","2022","Ridge Pagani Ranch Norma's Block Pagani Ranch","USA, California, Sonoma County, Sonoma Valley","Ridge","Zinfandel Blend","2025","2035","92.1428571428571"
